No,Paket,Pagu (Rp),Jenis Pengadaan,Produk Dalam Negeri,Usaha Kecil/Koperasi,Metode,Pemilihan,K/L/PD,Satuan Kerja,Lokasi,ID
50,Belanja Barang Persediaan Barang Konsumsi,7310000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,January 2026,Kementerian Agraria dan Tata Ruang/BPN,Kantor Pertanahan KAB BARRU,"Sulawesi Selatan, Barru (Kab.)",64485783
51,Cetak Spanduk,340800,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65017364
52,Minum Rapat Koordinasi Admin Air Minum dan Sanitasi,70000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64958476
53,Belanja Listrik IPAL Takkalasi,5702229,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,Dikecualikan,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64811003
54,Pengadaan ATK Pengawasan dan Evaluasi Tertib Penyelenggaraan Jasa Konstruksi Kabupaten/Kota,2500000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64875425
55,Pengadaan Teh Kotak dan Air Mineral Penyediaan Data dan Informasi Jasa Konstruksi Cakupan Kabupaten/Kota,6300000,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",65039082
56,Pengadaan ATK Penyediaan Data dan Informasi Jasa Konstruksi Cakupan Kabupaten/Kota,5779400,Barang,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64806547
57,Peningkatan Jalan Lingkungan Lokasi Kawasan Kumuh Mallawa,95000850,Pekerjaan Konstruksi,Produk Dalam Negeri,Usaha Kecil/Koperasi,Pengadaan Langsung,March 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64808100
58,Cetak Spanduk,170400,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64807118
59,Foto Copy,1140000,Jasa Lainnya,Produk Dalam Negeri,Usaha Kecil/Koperasi,E-Purchasing,January 2026,Kab. Barru,"DINAS PEKERJAAN UMUM, TATA RUANG, PERUMAHAN DAN KAWASAN PEMUKIMAN","Sulawesi Selatan, Barru (Kab.)",64807131
